Date,Day of Week,# in Line,Line-up Time,Pick-up Time,Notes
6/8/2016,Wednesday,19,7:50:00 AM,8:05:00 AM,
6/9/2016,Thursday,4,7:26:00 AM,7:29:00 AM,
6/9/2016,Thursday,19,8:01:00 AM,8:21:00 AM,Bus arrived as I got in line
6/10/2016,Friday,9,7:30:00 AM,7:38:00 AM,
6/10/2016,Friday,21,7:50:00 AM,8:00:00 AM,Took the bus after 10 minutes 
6/13/2016,Monday,31,7:48:00 AM,8:03:00 AM,"Took the bus, 13 ppl in line"
6/14/2016,Tuesday,26,7:51:00 AM,8:04:00 AM,
6/14/2016,Tuesday,17,8:00:00 AM,8:11:00 AM,
6/15/2016,Wednesday,8,7:31:00 AM,7:35:00 AM,
6/15/2016,Wednesday,16,8:02:00 AM,8:15:00 AM,
6/16/2016,Thursday,12,8:20:00 AM,8:32:00 AM,
6/17/2016,Friday,9,8:11:00 AM,8:21:00 AM,
6/20/2016,Monday,24,7:48:00 AM,8:02:00 AM,
6/21/2016,Tuesday,24,7:52:00 AM,8:02:00 AM,
6/22/2016,Wednesday,1,7:01:00 AM,7:02:00 AM,
6/22/2016,Wednesday,19,7:53:00 AM,8:11:00 AM,
6/23/2016,Thursday,14,7:47:00 AM,7:57:00 AM,
6/23/2016,Thursday,12,7:53:00 AM,8:07:00 AM,
6/24/2016,Friday,20,7:48:00 AM,8:02:00 AM,
6/27/2016,Monday,28,7:52:00 AM,,"Took bus at 7:57 AM, would have been 20 people in line ahead of us"
6/28/2016,Tuesday,13,7:42:00 AM,7:58:00 AM,
6/28/2016,Tuesday,3,8:38:00 AM,8:39:00 AM,Two people in front of me we're together so let me go first
6/29/2016,Wednesday ,14,7:41:00 AM,7:53:00 AM,
6/29/2016,Wednesday ,25,8:17:00 AM,,Didn't get in line just took bus
6/30/2016,Thursday,14,7:50:00 AM,7:59:00 AM,
6/30/2016,Thursday,12,8:01:00 AM,8:15:00 AM,
7/1/2016,Friday,20,8:11:00 AM,8:27:00 AM,
7/5/2016,Tuesday,22,7:55:00 AM,8:05:00 AM,
7/6/2016,Wednesday,19,7:54:00 AM,7:58:00 AM,"11 left in line, took bus"
7/7/2016,Thursday,6,7:18:00 AM,7:23:00 AM,
7/11/2016,Monday,11,7:49:00 AM,8:02:00 AM,
7/12/2016,Tuesday,16,7:48:00 AM,7:58:00 AM,
7/12/2016,Tuesday,6,8:09:00 AM,8:12:00 AM,
7/13/2016,Wednesday,5,7:48:00 AM,7:59:00 AM,
7/13/2016,Wednesday,8,8:09:00 AM,8:20:00 AM,Approximate pick up
7/14/2016,Thursday,0,7:01:00 AM,7:01:00 AM,
7/14/2016,Thursday,14,8:07:00 AM,8:13:00 AM,
7/15/2016,Friday,4,7:19:00 AM,7:19:00 AM,
7/15/2016,Friday,2,7:59:00 AM,8:01:00 AM,
7/18/2016,Monday,12,7:26:00 AM,7:38:00 AM,
7/18/2016,Monday,17,8:11:00 AM,8:18:00 AM,
7/19/2016,Tuesday,13,7:44:00 AM,7:58:00 AM,
7/20/2016,Wednesday,10,7:23:00 AM,7:29:00 AM,
7/20/2016,Wednesday,10,8:29:00 AM,8:37:00 AM,
7/21/2016,Thursday,7,7:23:00 AM,7:27:00 AM,
7/21/2016,Thursday,16,8:21:00 AM,8:24:00 AM,
7/22/2016,Friday,11,7:59:00 AM,8:03:00 AM,
7/22/2016,Friday,0,8:11:00 AM,8:12:00 AM,
7/26/2016,Tuesday,26,7:56:00 AM,8:08:00 AM,
7/27/2016,Wednesday,4,7:48:00 AM,7:51:00 AM,
